rowid,response_type,incident_number,call_data,final_priority,month_name,month_no,response_time_min,data_as_of,data_loaded_at
5699373574936218805,BLS,19078955,2019-07-04,3,Jul,7,1.733333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-4817722923399318001,BLS,19079602,2019-07-05,3,Jul,7,3.516667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-8006228636267180647,BLS,19078858,2019-07-04,3,Jul,7,3.916667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-1609864475943773635,BLS,19080529,2019-07-08,3,Jul,7,3.15,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-8101582846987144501,BLS,10067250,2010-08-01,3,Aug,8,2.05,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
6910895476729004508,BLS,10067534,2010-08-02,3,Aug,8,1.033333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-2407938200679982125,BLS,10068356,2010-08-05,3,Aug,8,3.366667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
1600089472899853076,BLS,19005149,2019-01-12,3,Jan,1,4.4,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
8852301842815362010,BLS,19006374,2019-01-16,3,Jan,1,4.633333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
3379911484554788744,BLS,19007492,2019-01-18,3,Jan,1,4.666667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-3342905748076593977,BLS,10067581,2010-08-02,3,Aug,8,3.133333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-198416464718374291,BLS,19006213,2019-01-15,3,Jan,1,2.9,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
8615084355900929939,BLS,19006727,2019-01-16,3,Jan,1,3,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-3659412390443698931,BLS,19008469,2019-01-20,3,Jan,1,2.166667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
2103277144190636100,BLS,19009093,2019-01-22,3,Jan,1,3.75,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-97228868725526834,BLS,23035980,2023-03-15,3,Mar,3,3.666667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-6282736837130140111,BLS,23036246,2023-03-15,3,Mar,3,1.616667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-1204622472667913916,BLS,23036385,2023-03-16,3,Mar,3,6.4,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
3899269936510890316,BLS,23035796,2023-03-14,3,Mar,3,4.05,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-7613540884387732618,BLS,7014641,2007-02-19,3,Feb,2,4.95,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-1277337936450507911,BLS,7015417,2007-02-21,3,Feb,2,2.633333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-3164656383184827205,BLS,10070435,2010-08-12,3,Aug,8,3.983333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-4779761742630416200,BLS,10070240,2010-08-11,3,Aug,8,4.266667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-8819975320619769678,BLS,10070730,2010-08-13,3,Aug,8,4.416667,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-1461266047963520106,BLS,10074327,2010-08-24,3,Aug,8,3.3,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-206501504652903886,BLS,10074443,2010-08-24,3,Aug,8,2,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
8724810667848752903,BLS,10076356,2010-08-30,3,Aug,8,2.7,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-4720029061629338883,BLS,19006544,2019-01-16,3,Jan,1,2.733333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
7261571369292612135,BLS,7014382,2007-02-18,3,Feb,2,3.533333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
-440402670659345712,BLS,7015915,2007-02-23,3,Feb,2,0.833333,2024/06/03 03:29:28 AM,2024/06/03 01:02:30 PM
